doi,type,date
10.1145/1996461.1996548,proceedings-article,2011
10.1155/2012/172674,journal-article,2012
10.1109/icws.2004.89,proceedings-article,2004
10.1007/978-3-319-14139-8_15,proceedings-article,2014
10.1145/2507157.2507189,proceedings-article,2013
10.1371/journal.pone.0053946,journal-article,2013-01-14
10.1201/b17112-19,book-chapter,2014
10.1109/infocom.2006.344,proceedings-article,2006
10.1145/2485760.2485799,proceedings-article,2013
10.1007/978-3-319-45477-1_8,proceedings-article,2016
10.1109/wpc.2001.921729,proceedings-article,2001
10.1007/978-3-540-39962-9_95,proceedings-article,2003
10.1109/icde.2006.42,proceedings-article,2006
10.1088/0953-8984/28/41/414008,journal-article,2016-08-22
10.1007/978-3-540-30470-8_38,proceedings-article,2004
10.1016/j.entcs.2011.01.035,journal-article,2011-02
10.1007/s11225-009-9192-3,journal-article,2009-06-30
10.1145/2063576.2063972,proceedings-article,2011
10.1016/s0167-739x(01)00039-5,journal-article,2001-06
10.1109/bibe.2006.253300,proceedings-article,2006-10
10.1007/978-3-319-52836-6_64,proceedings-article,2017
10.1007/978-3-319-09333-8,proceedings,2014
10.1007/978-3-540-45216-4_27,proceedings-article,2003
10.1007/978-3-319-11113-1_19,proceedings-article,2014
10.1088/1755-1315/95/4/042039,journal-article,2017-12
10.1016/j.future.2006.11.003,journal-article,2007-06
10.1109/icc.2015.7248545,proceedings-article,2015-06
10.1109/ivs.2002.1187919,proceedings-article,not-defined
10.1109/robot.2001.932886,proceedings-article,2001
10.1109/tsp.1993.193159,journal-article,1993-01
10.1007/978-1-4614-8800-2,book,2014
10.1007/s11590-017-1161-6,journal-article,2017-06-19
10.1145/1978582.1978584,proceedings-article,2011
10.1007/978-3-319-24770-0_34,proceedings-article,2015
10.1109/avss.2006.2,proceedings-article,2006-11
10.1007/978-3-642-02282-1_19,proceedings-article,2009
10.1109/pdp.2016.125,proceedings-article,2016-02
10.1155/2013/351680,journal-article,2013
10.1155/2013/409062,journal-article,2013
10.3390/ijgi2010155,journal-article,2013-03-11
10.1109/tie.2004.837862,journal-article,2004-12
10.1007/978-3-319-93031-2_2,proceedings-article,2018
10.1017/s0263574718000875,journal-article,2018-08-31
10.1137/1.9781611972801.15,proceedings-article,2010-04-29
10.1007/978-3-642-33666-9_50,proceedings-article,2012
10.4018/978-1-4666-5966-7.ch016,book-chapter,not-defined
10.1007/978-3-642-17358-5_36,proceedings-article,2010
10.1109/icsa-c.2018.00006,proceedings-article,2018-04
10.1016/j.cviu.2016.09.004,journal-article,2017-03
10.1007/3-540-45136-6_32,proceedings-article,2001
10.1007/978-3-319-20684-4_36,proceedings-article,2015
10.1016/j.ic.2007.01.004,journal-article,2007-07
10.1109/ie.2015.29,proceedings-article,2015-07
10.1002/zamm.201200215,journal-article,2013-06-17
10.1109/tip.2018.2861359,journal-article,2018-11
10.1007/978-3-642-12439-6_17,proceedings-article,2010
10.1016/j.jss.2018.07.010,journal-article,2018-10
10.1007/978-3-319-73165-0_15,proceedings-article,2017-12-21
10.1016/j.dsp.2007.11.004,journal-article,2009-03
10.1007/978-3-642-40564-8_17,proceedings-article,2013
10.1021/ci500063b,journal-article,2014-02-21
10.1038/srep15633,journal-article,2015-10-26
10.1145/2808797.2809361,proceedings-article,2015
10.1117/12.2006478,proceedings-article,2013-03-07
10.1007/11402763_11,proceedings-article,2005
10.1007/s11227-014-1305-8,journal-article,2014-10-17
10.1145/2808200,journal-article,2015-10-21
10.1109/3pgcic.2013.18,proceedings-article,2013-10
10.1093/jac/dkr171,journal-article,2011-05-30
10.1109/wse.2009.5631245,proceedings-article,2009-09
10.1007/978-3-642-35843-2_13,proceedings-article,2013
10.1145/2413247.2413262,proceedings-article,2012
10.1007/978-3-319-52758-1_18,proceedings-article,2016
10.1109/icpc.2012.6240488,proceedings-article,2012-06
10.1007/978-3-642-29247-7_15,proceedings-article,2012
10.1109/dsaa.2017.33,proceedings-article,2017-10
10.1145/2590296.2590299,proceedings-article,2014
10.1007/978-3-642-24471-1_18,proceedings-article,2011
10.1007/978-3-319-47075-7,proceedings,2016
10.1007/978-3-642-22953-4_25,proceedings-article,2011
10.1007/978-3-319-11955-7_67,proceedings-article,2014
10.1145/1143997.1144139,proceedings-article,2006
10.1007/3-540-48387-x_21,proceedings-article,1999
10.1109/wcre.2001.957827,proceedings-article,2001
10.1016/j.comcom.2010.12.008,journal-article,2012
10.1016/j.ejmg.2012.01.005,journal-article,2012-03
10.1093/bioinformatics/bti754,journal-article,2005-11-02
10.1016/j.gmod.2004.11.002,journal-article,2005-07
10.1142/s0129054106003760,journal-article,2006-02
10.1109/empdp.2003.1183623,proceedings-article,2003
10.1145/1735886.1735891,journal-article,2010-04-01
10.1109/mprv.2010.78,journal-article,2010
10.1016/j.future.2013.11.001,journal-article,2014-02
10.1109/icc.2004.1312897,proceedings-article,2004
10.1007/978-3-319-48743-4_19,proceedings-article,2016
10.1097/mnm.0000000000000066,journal-article,2014-04
10.1109/ithet.2013.6671059,proceedings-article,2013-10
10.1016/j.tcs.2004.06.008,journal-article,2004-10
10.1016/j.tcs.2006.03.006,journal-article,2006-08
10.1109/icpr.2014.443,proceedings-article,2014-08
10.1016/j.cagd.2018.07.001,journal-article,2018-10
10.1007/11768029_16,proceedings-article,2006
10.1109/embc.2014.6943856,proceedings-article,2014-08
10.1145/1599410.1599437,proceedings-article,2009
10.1109/waina.2013.77,proceedings-article,2013-03
10.1002/smr.v19:5,journal-issue,2007-09
10.4230/lipics.itcs.2017.54,proceedings-article,2017
10.1109/iscc.2017.8024543,proceedings-article,2017-07
10.1007/s11548-007-0130-4,journal-article,2007-11-10
10.1109/sitis.2011.21,proceedings-article,2011-11
10.1007/978-3-319-11179-7_23,proceedings-article,2014
10.1504/ijwet.2008.018099,journal-article,2008
10.3233/978-1-61499-419-0-957,proceedings-article,2014
10.1109/isie.2008.4677177,proceedings-article,2008-06
10.1145/1082473.1082769,proceedings-article,2005
10.1109/wacv.2018.00134,proceedings-article,2018-03
10.1109/icse.2004.1317444,proceedings-article,2004
10.3233/fi-2014-1094,journal-article,2014
10.3233/978-1-61499-098-7-1005,proceedings-article,2012
10.1103/physreve.90.012812,journal-article,2014-07-28
10.1109/icip.2001.958571,proceedings-article,2001
10.1007/978-3-642-21254-3_7,proceedings-article,2011
10.1007/978-3-319-47286-7_10,proceedings-article,2016
10.1007/978-1-4471-6735-8_11,book-chapter,2015
10.1109/vtcspring.2013.6691882,proceedings-article,2013-06
10.1007/s10207-009-0083-4,journal-article,2009-06-16
10.1109/cdc.2012.6426656,proceedings-article,2012
10.1007/978-3-319-19581-0_41,proceedings-article,2015
10.1007/978-3-642-23160-5,proceedings,2011
10.1145/2911451.2914722,proceedings-article,2016
10.1093/nar/gkh432,journal-article,2004-07-01
10.3166/jancl.16.433-455,journal-article,2006-01
10.1007/978-3-030-00470-5_21,proceedings-article,2018
10.1145/3219819.3220093,proceedings-article,2018
10.1016/s1571-0661(04)00233-6,journal-article,2001-08
10.1002/spe.2456,journal-article,2016-09-27
10.1007/978-3-642-21666-4,book,2011
10.1016/j.jbiotec.2010.09.846,journal-article,2010-11
10.1109/cbmi.2011.5972542,proceedings-article,2011-06
10.1007/978-3-319-72926-8_46,proceedings-article,2017-12-21
10.1007/3-540-46428-x_9,proceedings-article,2000
10.1109/csmr.2010.54,proceedings-article,2010-03
10.1016/j.entcs.2014.12.014,journal-article,2015-01
10.1145/1180639.1180706,proceedings-article,2006
10.1007/978-3-642-14000-6,book,2010
10.1007/s12083-013-0232-4,journal-article,2013-09-28
10.1109/access.2018.2877523,journal-article,2018
10.1109/cse.2009.168,proceedings-article,2009
10.1145/2254129.2254174,proceedings-article,2012
10.1016/j.mcp.2014.10.002,journal-article,2015-02
10.1006/ijhc.1999.0347,journal-article,2000-04
10.1016/j.cor.2011.06.008,journal-article,2012-05
10.1109/vlsisoc.2011.6081667,proceedings-article,2011-10
10.1109/vl.1997.626565,proceedings-article,1997
10.1007/978-3-540-30134-9_43,proceedings-article,2004
10.1002/rsa.20071,journal-article,2005
10.1017/cbo9781139128926.017,book-chapter,not-defined
10.1145/2975167.2985847,proceedings-article,2016
10.1049/el:20073919,journal-article,2007
10.1016/j.jvlc.2014.10.018,journal-article,2014-12
10.1109/iscas.2010.5537105,proceedings-article,2010-05
10.1007/978-3-319-24309-2_21,proceedings-article,2015
10.1016/j.sbi.2013.02.001,journal-article,2013-06
10.24963/ijcai.2018/777,proceedings-article,2018-07
10.1109/isccsp.2012.6217775,proceedings-article,2012-05
10.1145/1570433.1570451,proceedings-article,2009
10.1109/icdcs.2002.1022238,proceedings-article,2002
10.3233/978-1-61499-438-1-330,proceedings-article,2014
10.1109/wowmom.2013.6583379,proceedings-article,2013-06
10.1145/2016604.2016618,proceedings-article,2011
10.3138/infor.45.4.223,journal-article,2007-11
10.1016/j.patcog.2005.11.003,journal-article,2006-04
10.24963/ijcai.2017/704,proceedings-article,2017-08
10.1089/cmb.2010.0265,journal-article,2011-03
10.1007/3-540-48155-9_24,proceedings-article,1999
10.1109/tse.2002.1041051,journal-article,2002-10
10.1109/esscirc.2011.6044889,proceedings-article,2011-09
10.1016/j.icte.2016.02.004,journal-article,2016-03
10.1109/csmr-wcre.2014.6747166,proceedings-article,2014-02
10.1007/s10589-006-9005-9,journal-article,2007-02-21
10.1007/978-3-030-06019-0_4,proceedings-article,2018
10.1109/icip.2014.7026009,proceedings-article,2014-10
10.1007/978-3-319-08245-5,book,2014
10.5220/0005869101810188,proceedings-article,2016
10.1007/978-3-319-31456-3_10,proceedings-article,2016
10.1007/978-3-319-92408-3_2,proceedings-article,2018
10.1007/11554578,proceedings,2005
10.1109/vlsisoc.2010.5642687,proceedings-article,2010-09
10.1007/978-3-319-19584-1,proceedings,2015
10.1016/j.proeng.2014.11.228,journal-article,2014
10.1007/978-3-319-70169-1_3,proceedings-article,2017
10.1007/978-3-319-15201-1_19,proceedings-article,2015
10.2147/ndt.s81233,journal-article,2015-06
10.1145/2451436.2451450,proceedings-article,2013
10.1109/isit.2007.4557207,proceedings-article,2007-06
10.1109/icalt.2017.13,proceedings-article,2017-07
10.1109/hpcsim.2014.6903777,proceedings-article,2014-07
10.1007/978-3-319-71679-4_15,proceedings-article,2017
10.1109/lsp.2015.2463092,journal-article,2015-11
10.1016/j.knosys.2017.04.014,journal-article,2017-07
10.1002/smr.1655,journal-article,2014-06
10.1109/iembs.2007.4353861,proceedings-article,2007-08
10.1016/j.infsof.2008.09.005,journal-article,2009-04
10.1007/978-3-642-24933-4_11,proceedings-article,2011
10.1109/tnet.2017.2728320,journal-article,2017-12
10.1109/wowmom.2017.7974310,proceedings-article,2017-06
10.1109/isda.2009.262,proceedings-article,2009-11
10.1016/j.ins.2014.08.023,journal-article,2014-11
10.4230/lipics.csl.2016.29,proceedings-article,2016
10.3233/ica-2011-0382,journal-article,2011-09-22
10.1109/wetice.2014.29,proceedings-article,2014-06
10.1371/journal.pone.0118192,journal-article,2015-03-23
10.1109/mlsp.2016.7738899,proceedings-article,2016-09
10.1007/978-3-642-02809-0,book,2009
10.1371/journal.pone.0050986,journal-article,2012-12-10
10.1109/ptpsys.2004.20,proceedings-article,2004
10.1007/s10107-014-0761-5,journal-article,2014-03-05
10.1007/s10686-014-9427-9,journal-article,2015-07-01
10.1109/scc.2013.80,proceedings-article,2013-06
10.1007/s10032-003-0112-1,journal-article,2003-03-01
10.1109/cisis.2011.94,proceedings-article,2011-06
10.1109/cisis.2010.30,proceedings-article,2010-02
10.1109/icip.2006.312753,proceedings-article,2006-10
10.1007/978-3-642-24270-0_34,proceedings-article,2011
10.1016/j.patrec.2007.04.006,journal-article,2007-10
10.7551/978-0-262-33027-5-ch038,proceedings-article,2015-07-20
10.1007/978-3-319-58347-1_2,book-chapter,2017
10.1109/tnn.2004.837783,journal-article,2004-11
10.1007/978-3-540-87700-4_107,proceedings-article,2008
10.1007/978-3-642-40160-2_3,proceedings-article,2013
10.1109/oceans-genova.2015.7271740,proceedings-article,2015-05
10.1109/3pgcic.2013.74,proceedings-article,2013-10
10.1016/j.ipm.2015.04.004,journal-article,2016-01
10.1007/3-540-60973-3_100,proceedings-article,1996
10.1145/1023663.1023667,proceedings-article,2004
10.1007/11963271_6,proceedings-article,2006
10.1007/978-3-319-05029-4_3,book-chapter,2014
10.1080/19393555.2014.998843,journal-article,2015-02-18
10.1016/j.ic.2015.03.002,journal-article,2015-06
10.1162/neco.2009.05-08-786,journal-article,2010
10.1007/978-3-319-49130-1,proceedings,2016
10.1007/978-3-642-38989-4_14,proceedings-article,2013
10.1109/icpr.2014.430,proceedings-article,2014-08
10.1016/j.tcs.2016.07.020,journal-article,2017-01
10.1145/2695664.2695768,proceedings-article,2015
10.3390/s16020217,journal-article,2016-02-06
10.1007/978-3-642-24485-8,book,2011
10.1007/978-3-319-55849-3_16,proceedings-article,2017
10.1109/saso.2016.17,proceedings-article,2016-09
10.1007/978-3-540-74825-0_3,proceedings-article,2007
10.1109/scc.2007.72,proceedings-article,2007
10.5220/0004820301990206,proceedings-article,2014
10.1007/978-3-642-15745-5,book,2010
10.1109/emtc.2014.6996643,proceedings-article,2014-11
10.1007/978-3-319-08338-4_104,proceedings-article,2015-09-03
10.1007/11948148_12,proceedings-article,2006
10.1109/iwsm-mensura.2013.22,proceedings-article,2013-10
10.1145/1454503.1454557,proceedings-article,2008
10.1007/978-3-319-49109-7_29,proceedings-article,2016-10-22
10.1007/978-3-642-02930-1_36,proceedings-article,2009
10.1109/icme.2011.6011969,proceedings-article,2011-07
10.1109/icip.2014.7026055,proceedings-article,2014-10
10.1016/j.nancom.2012.09.007,journal-article,2012-12
10.1145/2567574.2567630,proceedings-article,2014
10.1145/1667502.1667519,proceedings-article,2009
10.1109/sysose.2012.6384188,proceedings-article,2012
10.1016/j.ipl.2005.01.006,journal-article,2005-05
10.1109/icassp.2006.1661333,proceedings-article,2006
10.1109/iceaa.2015.7297337,proceedings-article,2015-09
10.1109/icdsp.2009.5201207,proceedings-article,2009-07
10.1007/11915072_6,proceedings-article,2006
10.1109/ipdps.2007.370418,proceedings-article,2007
10.1109/ubicomm.2007.32,proceedings-article,2007-11
10.1145/2464996.2465007,proceedings-article,2013
10.1109/date.2003.1253692,proceedings-article,not-defined
10.1016/j.cosrev.2009.08.001,journal-article,2009-11
10.1007/978-3-642-28323-9_6,book-chapter,2013
10.1007/978-0-387-30162-4_415,book-chapter,2008
10.1016/j.comnet.2013.08.002,journal-article,2013-12
10.1007/978-3-319-69459-7,proceedings,2017
10.4108/icst.mobicase.2014.257702,proceedings-article,2014
10.1109/cicc.2009.5280754,proceedings-article,2009-09
10.1007/978-3-319-65151-4_27,proceedings-article,2017
10.1145/337292.337424,proceedings-article,2000
10.1007/0-387-23352-0_2,book-chapter,not-defined
10.1109/smi.2003.1199624,proceedings-article,2003
10.1007/978-3-642-22110-1_9,proceedings-article,2011
10.3233/ais-140282,journal-article,2014
10.1007/978-3-319-08783-2_47,proceedings-article,2014
10.1145/3059009.3059038,proceedings-article,2017
10.1016/j.cpc.2007.09.006,journal-article,2008-02
10.1007/s11263-011-0511-6,journal-article,2012
10.1007/978-3-319-70578-1_5,proceedings-article,2018
10.4018/ijitwe,journal,not-defined
10.1007/978-3-642-41242-4_30,proceedings-article,2013
10.1109/icip.2014.7025684,proceedings-article,2014-10
10.1145/2532508.2532510,proceedings-article,2013
10.1016/j.scico.2010.02.009,journal-article,2010-10
10.1109/ias.2008.24,proceedings-article,2008-09
10.1109/msp.2015.138,journal-article,2015-11
10.23919/date.2017.7927257,proceedings-article,2017-03
10.1016/j.knosys.2015.04.023,journal-article,2015-08
10.1016/j.ipm.2011.07.005,journal-article,2012-03
10.1016/j.jcss.2012.05.011,journal-article,2013-03
10.1109/nbis.2014.107,proceedings-article,2014-09
10.1109/formsera.2012.6229785,proceedings-article,2012-06
10.1186/1471-2105-14-s7-s2,journal-article,2013-04
10.1007/11750734_15,proceedings-article,2006
10.1007/978-3-319-94776-1_28,proceedings-article,2018
10.1007/978-3-540-39853-0_5,proceedings-article,2003
10.1007/11552451_103,proceedings-article,2005
10.1007/978-3-642-54943-4_3,proceedings-article,2014
10.1007/978-3-319-67271-7_14,proceedings-article,2017
10.1142/s0129183113500848,journal-article,2013-11
10.1016/j.dam.2009.10.005,journal-article,2010-03
10.1142/s0129054107004875,journal-article,2007-06
10.1109/wi.2004.10021,proceedings-article,not-defined
10.1007/978-3-642-16385-2_33,proceedings-article,2010
10.1145/2744769.2744858,proceedings-article,2015
10.3233/mis-2012-0140,journal-article,2012
10.5194/acp-15-6971-2015,journal-article,2015-06-29
10.1145/3148226.3148228,proceedings-article,2017
10.1371/journal.pone.0106684,journal-article,2014-09-09
10.1007/11508380_52,proceedings-article,2005
10.1016/j.jbi.2009.09.005,journal-article,2010-06
10.1109/perser.2007.4283925,proceedings-article,2007-07
10.1007/11562931_13,proceedings-article,2005
10.1007/978-3-642-17319-6_40,proceedings-article,2010
10.1007/978-3-319-23237-9_13,proceedings-article,2015
10.5121/ijdkp,journal,not-defined
10.1016/j.jss.2016.10.001,journal-article,2017-01
10.1109/es.2015.9,proceedings-article,2015
10.1109/fuzz-ieee.2015.7337838,proceedings-article,2015-08
10.1002/cpe.1710,journal-article,2011-03-02
10.1109/wpc.1999.777744,proceedings-article,1999
10.1016/j.asoc.2012.08.045,journal-article,2013-01
10.1109/soli.2007.4383899,proceedings-article,2007-08
10.1016/j.neuroimage.2012.11.051,journal-article,2013-04
10.5591/978-1-57735-516-8/ijcai11-155,proceedings-article,2011
10.1109/candar.2014.95,proceedings-article,2014-12
10.4108/eai.4-1-2018.153531,journal-article,2018-01-04
10.1109/icec.1996.542336,proceedings-article,1996
10.1007/978-3-642-40994-3_50,proceedings-article,2013
10.1108/ijwis-11-2017-0081,journal-article,2018-08-20
10.1016/j.entcs.2006.09.016,journal-article,2007-05
10.1109/cse.2015.57,proceedings-article,2015-10
10.1109/compsac.2015.152,proceedings-article,2015-07
10.1002/ett.1016,journal-article,2004
10.1016/j.jvlc.2005.06.001,journal-article,2005-12
10.1109/iccd.2014.6974723,proceedings-article,2014-10
10.1007/978-3-642-41338-4_9,proceedings-article,2013
10.1007/978-3-540-88313-5_24,proceedings-article,2008
10.1145/2468356.2468445,proceedings-article,2013
10.1109/icsme.2017.17,proceedings-article,2017-09
10.1007/978-3-642-41181-6_5,proceedings-article,2013
10.1145/380995.381014,journal-article,2000-12-01
10.1109/bhi.2014.6864349,proceedings-article,2014-06
10.1186/1471-2172-12-50,journal-article,2011
10.1007/978-3-319-69084-1_28,proceedings-article,2017
10.1109/icdmw.2017.41,proceedings-article,2017-11
10.1109/csmr.2007.26,proceedings-article,2007
10.1007/978-3-642-01793-3_86,proceedings-article,2009
10.1145/277044.277237,proceedings-article,1998
10.1109/ijcnn.2014.6889768,proceedings-article,2014-07
10.1007/978-3-319-49055-7_25,proceedings-article,2016
10.1007/s11047-008-9100-1,journal-article,2008-10-17
10.1109/iscis.2007.4456882,proceedings-article,2007-11
10.1007/978-3-642-13273-5_10,proceedings-article,2010
10.1109/time.2007.45,proceedings-article,2007
10.1016/s0024-3795(01)00435-9,journal-article,2001-12
10.1109/wi-iat.2011.160,proceedings-article,2011-08
10.1007/978-3-642-15754-7_18,proceedings-article,2010
10.3233/978-1-60750-530-3-273,proceedings-article,2009
10.1145/2851613.2851617,proceedings-article,2016
10.1016/j.tcs.2007.06.006,journal-article,2007-10
10.1007/s12193-014-0148-1,journal-article,2014-02-17
10.3389/fnins.2016.00619,journal-article,2017-01-23
10.1007/978-3-540-71209-1_30,proceedings-article,2007
10.1145/2071423.2071510,proceedings-article,2011
10.1007/11549468_52,proceedings-article,2005
10.1109/avss.2009.82,proceedings-article,2009-09
10.1016/j.patcog.2016.10.010,journal-article,2017-03
10.1145/1858996.1859085,proceedings-article,2010
10.4018/jghpc.2012070102,journal-article,2012-07
10.1007/3-540-48387-x_40,proceedings-article,1999
10.1109/ccc.2001.933871,proceedings-article,2001
10.1007/978-3-642-41068-0_7,proceedings-article,2013
10.1109/icip.2011.6116376,proceedings-article,2011-09
10.1007/978-3-540-73400-0_19,proceedings-article,2007
10.1007/s00138-013-0509-x,journal-article,2013-05-04
10.3389/fnins.2015.00496,journal-article,2016-01-06
10.1109/infcom.2005.1497887,proceedings-article,2005
10.1109/tip.2007.909415,journal-article,2007-12
10.1016/j.jcss.2015.06.001,journal-article,2016-02
10.1145/2755970,journal-article,2015-05-13
10.1016/j.sbspro.2014.01.141,journal-article,2014-02
10.1145/1557914.1558004,proceedings-article,2009
10.1016/j.comnet.2006.04.013,journal-article,2007-01
10.5220/0004799500490056,proceedings-article,2014
10.1371/journal.pone.0161771,journal-article,2016-08-26
10.1007/3-540-48219-9_4,proceedings-article,2001
10.1007/978-3-319-32695-5_4,proceedings-article,2016
10.1016/j.compeleceng.2016.08.006,journal-article,2016
10.1093/bioinformatics/btr549,journal-article,2011-10-03
10.1016/s0921-8890(02)00294-4,journal-article,2002-12
10.1007/3-540-35828-5_14,proceedings-article,2003
10.1145/1842993.1843017,proceedings-article,2010
10.1007/bfb0095017,proceedings-article,2000
10.1016/j.ipl.2008.03.002,journal-article,2008-08
10.4018/978-1-4666-4213-3.ch007,book-chapter,not-defined
10.1007/s11760-017-1181-9,journal-article,2017-09-23
10.1016/s0024-3795(01)00437-2,journal-article,2001-12
10.1002/spe.1001,journal-article,2011-03-18
10.1177/1748006x13485191,journal-article,2013-05-02
10.1109/irc.2017.57,proceedings-article,2017-04
10.1145/1266840.1266861,proceedings-article,2007
10.1137/1.9781611972825.84,proceedings-article,2012-04-26
10.1109/lgrs.2013.2291237,journal-article,2014-07
10.1007/978-3-319-71273-4_46,proceedings-article,2017
10.1007/978-3-319-13323-2_5,proceedings-article,2014
10.1007/978-1-4419-1219-0_3,book-chapter,2009-11-03
10.3233/spr-2012-0353,journal-article,2012
10.1109/ictai.2001.974473,proceedings-article,2001
10.1145/2390895.2390903,proceedings-article,2012
10.1109/pdp2018.2018.00053,proceedings-article,2018-03
10.1109/ipps.1999.760466,proceedings-article,1999
10.1016/j.orl.2006.03.008,journal-article,2007-03
10.1145/3159450.3162267,proceedings-article,2018
10.1109/tmc.2013.29,journal-article,2014-04
10.1109/iros.2016.7759111,proceedings-article,2016-10
10.1007/978-3-319-49130-1_12,proceedings-article,2016
10.1109/icdcsw.2005.82,proceedings-article,2005
10.1109/iscc.2006.62,proceedings-article,2006
10.1145/3184558.3191594,proceedings-article,2018
10.1155/2016/7831469,journal-article,2016
10.1007/978-3-540-68951-5_15,book-chapter,not-defined
10.1109/qest.2010.31,proceedings-article,2010-09
10.1109/iros.2018.8593993,proceedings-article,2018-10
10.1109/icra.2017.7989321,proceedings-article,2017-05
10.1109/iciap.1999.797671,proceedings-article,1999
10.1016/j.ipm.2015.06.008,journal-article,2015-09
10.5220/0006150500590067,proceedings-article,2017
10.1364/jocn.7.00a256,journal-article,2014-12-01
10.1007/978-3-540-87654-0_15,proceedings-article,2007
10.1109/pdp.2017.54,proceedings-article,2017
10.1007/978-3-319-22689-7_29,proceedings-article,2015
10.5898/jhri.3.2.lazzeri,journal-article,2014-06-01
10.1145/2536714.2536717,proceedings-article,2013
10.1109/glocom.2014.7417499,proceedings-article,2014-12
10.1007/11758525_44,proceedings-article,2006
10.1145/2393347.2396398,proceedings-article,2012
10.1016/j.entcs.2006.02.011,journal-article,2006-05
10.1016/j.pragma.2009.12.016,journal-article,2010-09
10.1109/biorob.2014.6913776,proceedings-article,2014-08
10.1504/ijhpcn.2015.071254,journal-article,2015
10.5220/0006217304870492,proceedings-article,2017
10.1007/978-3-662-46309-3_5,book-chapter,2015
10.1109/mtv.2007.14,proceedings-article,2007-12
10.1109/dexa.2007.175,proceedings-article,2007-09
10.2991/eusflat.2013.116,proceedings-article,2013
10.1109/cec.2013.6557754,proceedings-article,2013-06
10.1007/11908883_13,proceedings-article,2006
10.1007/978-3-540-75755-9_133,proceedings-article,2006
10.1016/j.simpat.2013.01.004,journal-article,2013-12
10.1109/cimsa.2003.1227205,proceedings-article,not-defined
10.1109/iscas.2010.5537913,proceedings-article,2010-05
10.1109/wse.2010.6224336,proceedings-article,2010-09
10.1109/isda.2009.21,proceedings-article,2009
10.1145/2499149.2499170,proceedings-article,2013
10.1007/b12002,book,2003
10.1007/978-3-642-02930-1_3,proceedings-article,2009
10.1093/bib/bbs070,journal-article,2012-11-01
10.1109/wetice.2014.65,proceedings-article,2014-06
10.1007/978-3-642-02463-4_12,proceedings-article,2009
10.1109/54.867894,journal-article,2000
10.1142/s1793843011000625,journal-article,2011-06
10.1109/icdcs.2016.58,proceedings-article,2016-06
10.1007/978-3-319-41540-6_15,proceedings-article,2016
10.1109/wetsom.2017.11,proceedings-article,2017-05
10.1109/nafips.2001.944275,proceedings-article,not-defined
10.1093/nar/gkr365,journal-article,2011-05-14
10.1007/s10836-007-5014-6,journal-article,2007-09-13
10.1007/11678816_30,proceedings-article,2006
10.1109/memea.2015.7145265,proceedings-article,2015-05
10.1145/2168260.2168262,journal-article,2012-04-01
10.1109/ms.2017.85,journal-article,2017-05
10.1007/978-3-319-12982-2_7,proceedings-article,2014
10.1016/j.procs.2016.09.067,proceedings-article,2016
10.3217/jucs-019-13-1986,journal-article,2013
10.1007/978-1-4471-2819-9_16,proceedings-article,2012
10.1007/978-3-642-22056-2_41,proceedings-article,2011
10.1145/3274783.3275201,proceedings-article,2018
10.1145/2038476.2038485,proceedings-article,2011
10.1007/978-3-642-01853-4_50,proceedings-article,2009
10.1109/ijcnn.2011.6033423,proceedings-article,2011-07
10.1007/3-540-47961-9_65,proceedings-article,2002
10.1007/s10791-007-9038-4,journal-article,2007-12-01
10.1145/2361354.2361374,proceedings-article,2012
10.1016/j.jcp.2018.08.057,journal-article,2018-12
10.1007/978-3-642-20401-2_15,book-chapter,2011
10.1093/logcom/exr045,journal-article,2011-12-06
10.1109/iisa.2015.7388006,proceedings-article,2015-07
10.1007/11926078_69,proceedings-article,2006
10.1109/isda.2009.83,proceedings-article,2009
10.1007/s11042-016-3780-9,journal-article,2016-07-22
10.1109/fuzzy.2011.6007719,proceedings-article,2011-06
10.1007/978-3-642-02937-0_40,proceedings-article,2009
10.1007/s10878-007-9085-1,journal-article,2007-07-20
10.1016/j.jbi.2013.07.002,journal-article,2013-10
10.1007/11551188_7,proceedings-article,2005
10.1109/iv.2018.00017,proceedings-article,2018-07
10.1186/1471-2105-11-566,journal-article,2010-11-18
10.1007/978-3-642-11467-0_15,proceedings-article,2010
10.1145/2480362.2480651,proceedings-article,2013
10.1016/j.is.2013.03.004,journal-article,2013-11
10.1080/095281398146815,journal-article,1998-04
10.1007/978-3-319-25768-6_17,proceedings-article,2015
10.1145/3136755.3136806,proceedings-article,2017
10.1007/978-3-642-28756-5_35,proceedings-article,2012
10.1007/978-3-540-24634-3_7,proceedings-article,2004
10.1109/ds-rt.2010.34,proceedings-article,2010-10
10.4108/icst.valuetools.2014.258214,journal-article,2015
10.1145/2072298.2072329,proceedings-article,2011
10.1016/j.entcs.2005.02.005,journal-article,2005-03
10.1145/967900.967997,proceedings-article,2004
10.1137/1.9781611972832.4,proceedings-article,2013-05-02
10.1109/tnsm.2018.2861741,journal-article,2018
10.1007/11732242,proceedings,2006
10.1109/saner.2018.8330226,proceedings-article,2018-03
10.1057/s41273-017-0055-z,journal-article,2017-12-12
10.1145/3269206.3271767,proceedings-article,2018
10.1016/j.entcs.2008.04.005,journal-article,2008-04
10.1109/soca.2014.44,proceedings-article,2014-11
10.1007/978-3-319-50901-3_43,proceedings-article,2016-11-30
10.1007/978-3-319-15895-2_34,proceedings-article,2015
10.1109/nas.2017.8026846,proceedings-article,2017-08
